index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
1854,0,social distance,nan,"danielle brooks, oscar nunez, mike colter, heather burns, okieriete onaodowan, ajay naidu, shakira barrera, steven weber, helena howard, daphne rubin vega, guillermo diaz, miguel sandoval, camila perez, gianna aragon, tom costanzo, luca costanzo, olli haaskivi, marsha stephanie blake, isabella ferreira, rocco luna, larita brooks, misha brooks, liam foley, zoe verbil, anthony norman, brian jordan alvarez, max jenkins, peter vack, rana roy, peter scanavino, ali ahn, tami sagher, barbara rosenblat, michael mulheren, leo bai scanavino, becky ann baker, dylan baker, marcia debonis, raymond anthony thomas, sunita mani, kylie liya page, david iacono, lachlan riley watson, niles fitch, will meyers, ava demary, lydia look, asante blackk, ayize ma at, lovie simone",united states,2020,tv ma,1,"tv comedies, tv dramas","filmed in isolation, this narrative anthology series features both dark and funny takes on how people strive to stay connected while staying apart.",2
1855,1,a choo,"kevin ko, peter tsi","kai ko, ariel lin, darren wang, zhang xiaolong, louis koo, vanness wu, kate tsui",taiwan,2020,tv 14,101,"action adventure, international movies, romantic movies","determined to win the heart of his childhood crush from orphanage, ej becomes a boxer with superpowers and soon confronts a formidable villain.",1
1856,1,blackpink light up the sky,caroline suh,blackpink,united states,2020,tv 14,80,"documentaries, music musicals",record shattering korean girl band blackpink tell their story and detail the hard fought journey of the dreams and trials behind their meteoric rise.,2
1857,1,the three deaths of marisela escobedo,carlos perez osorio,nan,mexico,2020,tv ma,110,"documentaries, international movies",this documentary examines a mother s tireless crusade to jail her daughter s murderer after mexico s justice system failed to do so.,1
1858,1,fida,ken ghosh,"fardeen khan, kareena kapoor, shahid kapoor, kim sharma, akhilendra mishra",india,2004,tv 14,117,"international movies, romantic movies, thrillers",an all around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.,1
1860,0,the cabin with bert kreischer,nan,"bert kreischer, anthony anderson, caitlyn jenner, tom segura, joey diaz, nikki glaser, fortune feimster, bobby lee, donnell rawlings, kaley cuoco, joel mchale, ms. pat, deon cole, big jay oakerson",united states,2020,tv ma,1,"reality tv, tv comedies","fast living comic bert kreischer heads to a cabin for some self care and invites his funny friends to join his quest to cleanse his mind, body and soul.",2
1861,1,dil,indra kumar,"aamir khan, madhuri dixit, saeed jaffrey, deven verma, anupam kher, shammi, padma rani, rajesh puri, satyendra kapoor",india,1990,tv 14,165,"comedies, dramas, international movies",a misers scheme to set his son up with a millionaires daughter backfires when the two actually fall in love just as his sly charade is revealed.,1
1862,1,disco dancer,b. subhash,"mithun chakraborty, kim, kalpana iyer, om puri, gita siddharth, yusuf khan, bob christo, om shivpuri, karan razdan",india,1982,tv 14,134,"cult movies, dramas, international movies","a poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft.",1
1863,1,hunterrr,harshavardhan kulkarni,"gulshan devaiah, radhika apte, sai tamhankar, veera saxena, sagar deshmukh",india,2015,tv ma,140,"comedies, international movies, romantic movies",a sex obsessed young man tries to put his past behind him when he falls for an extraordinary woman who makes him want to change his lifestyle.,1
1865,1,phir hera pheri,neeraj vora,"akshay kumar, sunil shetty, paresh rawal, bipasha basu, rimi sen, johny lever, manoj joshi, rajpal yadav, sharat saxena, suresh menon",india,2006,tv 14,150,"comedies, international movies","driven by greed, three rich friends seek to double their wealth and find themselves indebted to a ruthless gangster.",1
1866,1,the legend of bhagat singh,rajkumar santoshi,"ajay devgn, sushant singh, d. santosh, akhilendra mishra, raj babbar, farida jalal, amrita rao, mukesh tiwari",india,2002,tv 14,156,"dramas, international movies","this biopic chronicles the life and times of iconic indian revolutionary bhagat singh, who led an armed resistance against the british in the 1920.",1
1867,1,house of the witch,alex merkin,"emily bader, darren mann, michelle randolph, coy stewart, jesse pepe, arden belle, joel nagle, nolan bateman",united states,2017,tv ma,86,horror movies,a group of daring teens finds themselves in a fight for their lives inside a haunted house when a sinister spirit crashes their halloween party.,2
1868,0,deaf u,nan,nan,united states,2020,tv ma,1,docuseries,"in this reality series, a tight knit group of deaf and hard of hearing students share their stories and explore life at gallaudet university.",2
1869,1,ginny weds sunny,puneet khanna,"yami gautam, vikrant massey, suhail nayyar, ayesha raza mishra, isha talwar, rajeev gupta",india,2020,tv ma,126,"comedies, international movies, romantic movies","eager to marry but constantly rejected by women, a bachelor hopes to win over a former crush by accepting help from an unlikely source her mother.",1
1870,1,my step dad the hippie,meltem bozoflu,"onur buldu, mahir ipek, derya karadas, onur attila, meltem ylmazkaya, yasemin conka, burak topaloglu, sefik taylan, orkun karagoz, erdogan aydin","turkey, south korea",2018,tv ma,100,"comedies, international movies","when three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married.",3
1872,1,the forty year old version,radha blank,"radha blank, peter kim, oswin benjamin, imani lewis, haskiri velazquez, antonio ortiz, t.j. atoms, reed birney",united states,2020,r,124,"comedies, dramas, independent movies","desperate for a breakthrough as she nears the big 4 0, struggling new york city playwright radha finds inspiration by reinventing herself as a rapper.",2
1873,0,the haunting of bly manor,nan,"victoria pedretti, oliver jackson cohen, henry thomas, amelia eve, t nia miller, rahul kohli, tahirah sharif, amelie bea smith, benjamin evan ainsworth",united states,2020,tv ma,1,"tv dramas, tv horror, tv mysteries",dead doesn t mean gone. an au pair plunges into an abyss of chilling secrets in this gothic romance from the creator of the haunting of hill house.,2
1874,1,bigflo oli hip hop frenzy,"bigflo oli, jeremie levypon",bigflo oli,france,2020,tv ma,100,"documentaries, international movies, music musicals","go backstage with french rap duo bigflo oli in this intimate music documentary, then join the superstar siblings as they embark on a major tour.",1
1875,0,do do sol sol la la sol,nan,"go a ra, lee jae wook, kim ju hun, ye ji won, lee soon jae, shin eun soo, seo yi sook",south korea,2020,tv 14,1,"international tv shows, romantic tv shows, tv comedies","a riches to rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",2
1876,1,palermo hollywood,eduardo pinto,"brian maya, matias desiderio, manuela pal, azul lombardia",argentina,2004,tv ma,106,"dramas, international movies",a pair of petty criminals from different backgrounds get tangled up in a gangster s kidnapping scheme that goes awry.,1
1877,0,private lives,nan,"seohyun, ko kyung pyo, kim hyo jin, kim young min, tae won seok, song sun mi, park seong geun, jang jin hee, yoon sa bong, lee hak ju, song sang eun, jang won hyeok, yoo hee je, min zio, kim min sang, kim ba da, cha soo yeon",south korea,2020,tv 14,1,"crime tv shows, international tv shows, tv dramas","in a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",2
1878,0,the 100,nan,"eliza taylor, paige turco, bob morley, marie avgeropoulos, christopher larkin, henry ian cusick, isaiah washington, lindsey morgan, devon bostick, richard harmon, ricky whittle, jarod joseph, chelsey reist, sachin sahel, adina porter","united states, canada",2020,tv ma,7,"tv action adventure, tv dramas, tv sci fi fantasy","a century after earth was devastated by a nuclear apocalypse, 100 space station residents are sent to the planet to determine whether it s habitable.",3
1879,1,hubie halloween,steve brill,"adam sandler, kevin james, julie bowen, ray liotta, steve buscemi, maya rudolph, rob schneider, june squibb, kenan thompson, tim meadows, michael chiklis, karan brar, george wallace, paris berelc, noah schnapp, china anne mcclain, colin quinn, kym whitley, lavell crawford, mikey day, jackie sandler, sadie sandler, sunny sandler",united states,2020,pg 13,104,"comedies, horror movies","hubie s not the most popular guy in salem, mass., but when halloween turns truly spooky, this good hearted scaredy cat sets out to keep his town safe.",2
1880,0,to the lake,pavel kostomarov,"viktoriya isakova, kirill karo, aleksandr robak, natalya zemtsova, maryana spivak, yuri kuznetsov, eldar kalimulin, viktoriya agalakova, alexander yatsenko, saveliy kudryashov",russia,2020,tv ma,1,"international tv shows, tv dramas, tv mysteries","facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves and humanity in a brutal struggle to survive.",1
1881,1,american pie 9 girls rules,mike elliott,"madison pettis, lizze broadway, piper curda, natasha behnam, darren barnet, sara rue, zachary gordon, camaron engels, christian valderrama, zayne emory",united states,2020,r,96,comedies,four tight knit high school seniors vow to turn their love lives around by homecoming when the arrival of a new student muddles their plans.,2
1882,1,dolly parton here i am,francis whately,dolly parton,united kingdom,2019,tv 14,90,"documentaries, music musicals","dolly parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.",2
1884,1,walk away from love,christopher nolen,"noree victoria, brad james, robert christopher riley, brely evans, sabrina revelle",united states,2017,tv 14,81,"dramas, romantic movies","heartbroken from her last relationship, an attorney is wary of falling in love again. but crossing paths with an ex upends her plans to finally move on.",2
1885,0,bad boy billionaires india,nan,nan,india,2020,tv 14,1,"british tv shows, docuseries, international tv shows","this investigative docuseries explores the greed, fraud and corruption that built up and ultimately brought down indias most infamous tycoons.",1
1887,1,"best wishes, warmest regards a schitt s creek farewell",amy segal,"daniel levy, eugene levy, catherine o hara, annie murphy, chris elliott, emily hampshire, sarah levy, jennifer robertson, noah reid, dustin milligan, karen robinson, rizwan manji",canada,2020,tv ma,44,"documentaries, lgbtq movies","from unseen footage to the last table read, this documentary takes an inside look at the final season of the acclaimed comedy series schitt s creek.",1
